series,input_fraction_bits,internal_fraction_bits,log_coefficient_fraction_bits,max_relative_error,worst_x,worst_input_hex,worst_output_hex,endpoint_checks,quantization_cells,dense_positive_values
datapath,12,12,30,0.00096045535433331511,0.74804681539535522,3f3f7fff,40071800,1048578,262144,1
input_only,12,24,30,0.00024592089291499634,0.17333982884883881,3e317fff,3f98306c,1048578,262144,1
uniform,12,12,12,0.0039331100343321041,63.915279388427734,427fa93f,6d938000,1048578,262144,1
datapath,13,13,30,0.00048766058470591851,22.213743209838867,41b1b5bf,4f843c00,2097154,524288,1
input_only,13,24,30,0.00012387315100381832,0.17321775853633881,3e315fff,3f98306c,2097154,524288,1
uniform,13,13,13,0.0027382735076760204,-63.7342529296875,c27eefe0,11843c00,2097154,524288,1
datapath,14,14,30,0.00024051541833709992,2.1420285701751709,400916ff,41083c00,4194306,1048576,1
input_only,14,24,30,6.2843692918681209e-05,0.17315672338008881,3e314fff,3f98306c,4194306,1048576,1
uniform,14,14,14,0.00054368888388187184,63.822750091552734,427f4a7f,6d86ec00,4194306,1048576,1
datapath,15,15,30,0.00011372047243372635,1.5047606229782104,3fc09bff,40901500,8388610,2097152,1
input_only,15,24,30,3.2327566994116314e-05,0.17312620580196381,3e3147ff,3f98306c,8388610,2097152,1
uniform,15,15,15,0.00042170205552978404,63.895931243896484,427f956f,6d912f00,8388610,2097152,1
datapath,16,16,30,5.994931175731217e-05,7.0526728630065918,40e1af7f,44907c00,16777218,4194304,1
input_only,16,24,30,1.7088703785411845e-05,0.15161131322383881,3e1b3fff,3f94f3ba,16777218,4194304,1
uniform,16,16,16,0.00036781976026645572,63.894329071044922,427f93cb,6d90f580,16777218,4194304,1
datapath,17,17,30,2.9825378257962428e-05,5.0029597282409668,40a0183f,4314d940,33554434,8388608,1
input_only,17,24,30,9.4629084060976907e-06,0.043273922055959702,3d313fff,3f85a8ce,33554434,8388608,1
uniform,17,17,17,4.7626925839274449e-05,-63.685722351074219,c27ebe2e,118b2f40,33554434,8388608,1
datapath,18,18,30,1.650062886858737e-05,2.1655728816986084,400a98bf,410b82e0,50331650,16777216,1
input_only,18,24,30,5.659563291463731e-06,0.043243404477834702,3d311fff,3f85a7e4,50331650,16777216,1
uniform,18,18,18,3.8015190949541905e-05,-63.683387756347656,c27ebbca,118b82e0,50331650,16777216,1
datapath,19,19,30,8.9941838785569246e-06,0.042440410703420639,3d2dd5ff,3f858c50,67108866,16777216,8388609
input_only,19,24,30,3.7522236345738435e-06,0.043241497129201889,3d311dff,3f85a7e4,67108866,16777216,8388609
uniform,19,19,19,3.2516191830041528e-05,-63.726230621337891,c27ee7a9,1185a940,67108866,16777216,8388609
datapath,20,20,30,5.3470966900197431e-06,0.064972870051860809,3d85107f,3f889788,83886082,16777216,16777217
input_only,20,24,30,2.8095970774326378e-06,0.21658323705196381,3e5dc7ff,3f9ef40e,83886082,16777216,16777217
uniform,20,20,20,2.0934964483564588e-05,63.834445953369141,427f5679,6d8894a0,83886082,16777216,16777217
datapath,21,21,30,3.4526964416431133e-06,0.10817145556211472,3ddd88ff,3f8e9f40,100663298,16777216,25165825
input_only,21,24,30,2.3365929789417138e-06,0.17326544225215912,3e316c7f,3f983704,100663298,16777216,25165825
uniform,21,21,21,7.327653621338263e-06,-62.275127410888672,c27919bb,128e9d30,100663298,16777216,25165825
datapath,22,22,30,2.5168336638683397e-06,0.086612693965435028,3db161ff,3f8b9492,117440514,16777216,33554433
input_only,22,24,30,2.0981749285654214e-06,0.17326520383358002,3e316c6f,3f983704,117440514,16777216,33554433
uniform,22,22,22,6.7025341121183592e-06,-63.682975769042969,c27ebb5e,118b92b6,117440514,16777216,33554433
datapath,23,23,30,2.1112616262478524e-06,0.064946286380290985,3d85028f,3f8896b7,134217730,16777216,41943041
input_only,23,24,30,1.9789658819375374e-06,0.17326508462429047,3e316c67,3f983704,134217730,16777216,41943041
uniform,23,23,23,2.8335800081325706e-06,63.834392547607422,427f566b,6d889364,134217730,16777216,41943041
datapath,24,24,30,1.9260756182138283e-06,0.043284650892019272,3d314b3f,3f85a96e,150994946,16777216,50331649
input_only,24,24,30,1.9260756182138283e-06,0.043284650892019272,3d314b3f,3f85a96e,150994946,16777216,50331649
uniform,24,24,24,2.7022777005494609e-06,63.379642486572266,427d84c1,6d2d5800,150994946,16777216,50331649
datapath,25,25,30,1.8275754936286592e-06,0.043312635272741318,3d316897,3f85aa64,167772162,16777216,58720257
input_only,25,24,30,1.8962733527538854e-06,0.043284621089696884,3d314b37,3f85a96e,167772162,16777216,58720257
uniform,25,25,25,2.2456259335875492e-06,-63.726222991943359,c27ee7a7,1185aa8c,167772162,16777216,58720257
datapath,26,26,30,1.7667910931025454e-06,0.043317597359418869,3d316dcb,3f85aa90,184549378,16777216,67108865
input_only,26,24,30,1.8882103932825741e-06,0.043314065784215927,3d316a17,3f85aa70,184549378,16777216,67108865
uniform,26,26,26,1.9383169864673925e-06,63.141330718994141,427c90b9,6d089668,184549378,16777216,67108865
